id,name,res_id,lang,type,src,value,module,state,comments,lp_key,lp_isusedbyexternalapps
2236297,other,,en_US,,Pre to Post Resubmit,Pre to Post Resubmit,,translated,,en_US_pre_to_post_resubmit_label,t
2236298,other,,en_US,,Additional contact number is not valid,Additional contact number is not valid,,translated,,en_US_message_additional_mobile_number_validated,t
2236299,other,,en_US,,Additional contact number,Additional contact number,,translated,,en_US_additional_contact_number_text_field,t
2236300,other,,en_US,,"Appointment Date , Time","Appointment Date , Time",,translated,,en_US_appointment_date_time_text_field,t
2236301,other,,en_US,,Location Details,Location Details,,translated,,en_US_location_details_label,t
2236302,other,,en_US,,Customers Visit Management,Customers Visit Management,,translated,,en_US_customers_visit_management_label,t
2236303,other,,en_US,,Survey Results,Survey Results,,translated,,en_US_survey_results_label,t
2236304,other,,en_US,,press the button below to Add Survey Result,press the button below to Add Survey Result,,translated,,en_US_add_survey_result_label,t
2236305,other,,en_US,,Start New Survey,Start New Survey,,translated,,en_US_start_new_survey_label,t
2236306,other,,en_US,,See All Results,See All Results,,translated,,en_US_see_all_results_label,t
2236307,other,,en_US,,Visit number,Visit number,,translated,,en_US_visit_number_label,t
2236308,other,,en_US,,Force Location,Force Location,,translated,,en_US_force_location_label,t
2236309,other,,en_US,,Visit Planning (Optional),Visit Planning (Optional),,translated,,en_US_visit_planning_optional_label,t
2236310,other,,en_US,,Location Details (Optional),Location Details (Optional),,translated,,en_US_location_optional_details_label,t
2236311,other,,en_US,,Save as Draft,Save as Draft,,translated,,en_US_save_as_draft_label,t
2236312,other,,en_US,,Customer Name,Customer Name,,translated,,en_US_customer_name_label,t
2236313,other,,en_US,,Building number,Building number,,translated,,en_US_building_number_label,t
2236314,other,,en_US,,Captured Media,Captured Media,,translated,,en_US_captured_medial_label,t
2236315,other,,en_US,,Result ID,Result ID,,translated,,en_US_result_id_label,t
2236316,other,,en_US,,(Optional),(Optional),,translated,,en_US_optional_label,t
2236317,other,,en_US,,Coverage Radius,Coverage Radius,,translated,,en_US_coverage_radius_label,t
2236318,other,,en_US,,Street,Street,,translated,,en_US_street_label,t
2236319,other,,en_US,,All Survey Results,All Survey Results,,translated,,en_US_all_survey_results_label,t
2236320,other,,en_US,,Survey Result,Survey Result,,translated,,en_US_survey_result_label,t
2236321,other,,en_US,,Check In,Check In,,translated,,en_US_check_in_label,t
2236322,other,,en_US,,Proceed to Order,Proceed to Order,,translated,,en_US_proceed_to_order_label,t
2236323,other,,en_US,,Trouble Ticket,Trouble Ticket,,translated,,en_US_trouble_ticket_label,t
2236324,other,,en_US,,Select channel member,Select channel member,,translated,,en_US_alert_channel_member_text_field,t
2236325,other,,en_US,,Please enter a search term,Please enter a search term,,translated,,en_US_alert_empty_search_field,t
2236326,other,,en_US,,Please enter a valid amount,Please enter a valid amount,,translated,,en_US_pay_amount_error_label,t
2236327,other,,en_US,,Please enter serial number,Please enter serial number,,translated,,en_US_serial_number_error_message,t
2236328,other,,en_US,,Voucher Code is required,Voucher Code is required,,translated,,en_US_alert_empty_voucher_code,t
2236329,other,,en_US,,Choose wallet type,Choose wallet type,,translated,,en_US_alert_select_wallet_error,t
2236330,other,,en_US,,Select channel type,Select channel type,,translated,,en_US_alert_select_channel_error,t
2236331,other,,en_US,,Select channel member,Select channel member,,translated,,en_US_select_channel_member_label,t
2236332,other,,en_US,,Please enter your number,Please enter your number,,translated,,en_US_alert_empty_mobile_number_label,t
2236333,other,,en_US,,ID number is required,ID number is required,,translated,,en_US_alert_id_number_is_required,t
2236334,other,,en_US,,ID type is required,ID type is required,,translated,,en_US_alert_id_type_is_required,t
